"","normal_1","normal_2","normal_3","fibrosis_1","fibrosis_2","fibrosis_3","fibrosis_4"
"ENSMUSG00000100272",0,0,0,0,0,0,0
"ENSMUSG00000100398",0,0,0,0,0,0,0
"ENSMUSG00000101589",6,5,3,3,1,7,7
"ENSMUSG00000102048",0,2,0,0,0,0,0
"ENSMUSG00000089534",0,0,0,0,0,0,0
"ENSMUSG00000067780",29,65,82,454,197,252,260
"ENSMUSG00000100053",7,0,3,2,1,6,1
"ENSMUSG00000085125",2,5,3,1,5,0,0
"ENSMUSG00000025776",58,43,68,18,21,25,17
"ENSMUSG00000099895",0,0,2,0,0,0,0
"ENSMUSG00000100554",0,0,0,0,0,0,0
"ENSMUSG00000099473",0,0,0,0,0,0,0
"ENSMUSG00000099591",0,0,0,1,0,0,0
"ENSMUSG00000102001",0,0,0,0,0,0,0
"ENSMUSG00000101717",0,0,0,0,0,0,0
"ENSMUSG00000025774",0,0,0,0,0,0,0
"ENSMUSG00000070977",0,0,0,0,0,0,0
"ENSMUSG00000073735",0,0,0,0,0,0,0
"ENSMUSG00000067773",0,0,0,0,0,0,0
"ENSMUSG00000101685",0,0,0,0,0,1,0
"ENSMUSG00000101738",0,0,0,0,0,0,0
"ENSMUSG00000101306",0,0,0,0,0,0,0
"ENSMUSG00000088800",0,0,0,0,0,0,0
"ENSMUSG00000101644",0,0,0,0,0,0,0
"ENSMUSG00000099433",0,0,0,0,0,0,0
"ENSMUSG00000089787",0,0,0,0,0,0,0
"ENSMUSG00000042596",0,0,1,0,0,0,0
"ENSMUSG00000100720",1,0,0,1,1,0,0
"ENSMUSG00000025927",2671,1639,2816,1523,2404,1759,1355
"ENSMUSG00000100538",0,0,1,1,0,1,1
"ENSMUSG00000101117",0,0,0,0,0,0,0
"ENSMUSG00000100204",0,3,5,3,3,1,2
"ENSMUSG00000084668",0,0,0,0,0,0,0
"ENSMUSG00000102597",0,0,0,0,0,0,0
"ENSMUSG00000043760",8698,5001,8429,7635,10509,7879,8394
"ENSMUSG00000104095",20,7,19,27,39,28,29
"ENSMUSG00000089914",0,1,1,0,2,8,1
